NAME,USD/PLN
ISIN,USDPLN
2003-09-29,3.99150000
2003-09-30,3.97990000
2003-10-01,3.91430000
2003-10-02,3.89730000
2003-10-03,3.88500000
2003-10-06,3.91690000
2003-10-07,3.87200000
2003-10-08,3.85380000
2003-10-09,3.80960000
2003-10-10,3.86830000
2003-10-13,3.85990000
2003-10-14,3.89250000
2003-10-15,3.90130000
2003-10-16,3.96810000
2003-10-17,3.96840000
2003-10-20,3.95050000
2003-10-21,3.94310000
2003-10-22,3.94590000
2003-10-23,3.93720000
2003-10-24,3.94500000
2003-10-27,3.96160000
2003-10-28,3.97450000
2003-10-29,3.97430000
2003-10-30,3.98890000
2003-10-31,4.02340000
2003-11-03,4.01980000
2003-11-04,4.03730000
2003-11-05,3.99750000
2003-11-06,4.02350000
2003-11-07,4.01280000
2003-11-10,3.99030000
2003-11-12,3.96280000
2003-11-13,3.91980000
2003-11-14,3.88170000
2003-11-17,3.87030000
2003-11-18,3.89680000
2003-11-19,3.86940000
2003-11-20,3.87830000
2003-11-21,3.91300000
2003-11-24,3.93630000
2003-11-25,3.94560000
2003-11-26,3.93490000
2003-11-27,3.91700000
2003-11-28,3.93500000
2003-12-01,3.87380000
2003-12-02,3.90300000
2003-12-03,3.85250000
2003-12-04,3.83850000
2003-12-05,3.83710000
2003-12-08,3.81860000
2003-12-09,3.80840000
2003-12-10,3.81300000
2003-12-11,3.82270000
2003-12-12,3.80350000
2003-12-15,3.80720000
2003-12-16,3.75320000
2003-12-17,3.75430000
2003-12-18,3.74650000
2003-12-19,3.74060000
2003-12-22,3.73730000
2003-12-23,3.74160000
2003-12-24,3.75340000
2003-12-29,3.74330000
2003-12-30,3.76040000
2003-12-31,3.74050000
2004-01-02,3.73270000
2004-01-05,3.70790000
2004-01-06,3.67070000
2004-01-07,3.69380000
2004-01-08,3.70780000
2004-01-09,3.68450000
2004-01-12,3.64560000
2004-01-13,3.68680000
2004-01-14,3.73630000
2004-01-15,3.74330000
2004-01-16,3.78230000
2004-01-19,3.81650000
2004-01-20,3.79510000
2004-01-21,3.73340000
2004-01-22,3.70330000
2004-01-23,3.67650000
2004-01-26,3.74000000
2004-01-27,3.79100000
2004-01-28,3.75570000
2004-01-29,3.79000000
2004-01-30,3.84780000
2004-02-02,3.83190000
2004-02-03,3.83480000
2004-02-04,3.80940000
2004-02-05,3.83460000
2004-02-06,3.86880000
2004-02-09,3.80340000
2004-02-10,3.78010000
2004-02-11,3.82820000
2004-02-12,3.78270000
2004-02-13,3.79530000
2004-02-16,3.80440000
2004-02-17,3.78930000
2004-02-18,3.78780000
2004-02-19,3.84720000
2004-02-20,3.88050000
2004-02-23,3.90150000
2004-02-24,3.87380000
2004-02-25,3.85600000
2004-02-26,3.88510000
2004-02-27,3.93130000
2004-03-01,3.93510000
2004-03-02,3.92460000
2004-03-03,3.98280000
2004-03-04,3.95680000
2004-03-05,3.95560000
2004-03-08,3.88830000
2004-03-09,3.86600000
2004-03-10,3.86880000
2004-03-11,3.91330000
2004-03-12,3.88820000
2004-03-15,3.85440000
2004-03-16,3.82900000
2004-03-17,3.85890000
2004-03-18,3.86240000
2004-03-19,3.83590000
2004-03-22,3.84330000
2004-03-23,3.81220000
2004-03-24,3.82690000
2004-03-25,3.88210000
2004-03-26,3.92750000
2004-03-29,3.90790000
2004-03-30,3.88350000
2004-03-31,3.88130000
2004-04-01,3.85780000
2004-04-02,3.85460000
2004-04-05,3.89700000
2004-04-06,3.92410000
2004-04-07,3.90480000
2004-04-08,3.89360000
2004-04-09,3.90730000
2004-04-13,3.94380000
2004-04-14,3.97850000
2004-04-15,4.02860000
2004-04-16,3.99880000
2004-04-19,3.96100000
2004-04-20,3.99940000
2004-04-21,4.01020000
2004-04-22,4.01480000
2004-04-23,4.00620000
2004-04-26,4.02700000
2004-04-27,4.01830000
2004-04-28,4.01100000
2004-04-29,4.05720000
2004-04-30,4.02540000
2004-05-04,3.97310000
2004-05-05,3.90730000
2004-05-06,3.92420000
2004-05-07,3.93770000
2004-05-10,4.01590000
2004-05-11,4.00860000
2004-05-12,4.00450000
2004-05-13,4.02990000
2004-05-14,4.03400000
2004-05-17,3.97530000
2004-05-18,3.95900000
2004-05-19,3.92440000
2004-05-20,3.93290000
2004-05-21,3.90960000
2004-05-24,3.90450000
2004-05-25,3.84760000
2004-05-26,3.85180000
2004-05-27,3.83000000
2004-05-28,3.80120000
2004-05-31,3.80440000
2004-06-01,3.79600000
2004-06-02,3.79760000
2004-06-03,3.80980000
2004-06-04,3.80930000
2004-06-07,3.78150000
2004-06-08,3.73330000
2004-06-09,3.76440000
2004-06-11,3.82380000
2004-06-14,3.80800000
2004-06-15,3.79270000
2004-06-16,3.77500000
2004-06-17,3.80180000
2004-06-18,3.81140000
2004-06-21,3.78580000
2004-06-22,3.80500000
2004-06-23,3.77420000
2004-06-24,3.75830000
2004-06-25,3.76580000
2004-06-28,3.73270000
2004-06-29,3.74250000
2004-06-30,3.74700000
2004-07-01,3.70580000
2004-07-02,3.71660000
2004-07-05,3.67740000
2004-07-06,3.68590000
2004-07-07,3.65900000
2004-07-08,3.66740000
2004-07-09,3.66510000
2004-07-12,3.62880000
2004-07-13,3.61230000
2004-07-14,3.61020000
2004-07-15,3.58770000
2004-07-16,3.58440000
2004-07-19,3.55640000
2004-07-20,3.59050000
2004-07-21,3.61810000
2004-07-22,3.63980000
2004-07-23,3.63260000
2004-07-26,3.65350000
2004-07-27,3.64780000
2004-07-28,3.67110000
2004-07-29,3.66630000
2004-07-30,3.62990000
2004-08-02,3.62920000
2004-08-03,3.67700000
2004-08-04,3.69620000
2004-08-05,3.65650000
2004-08-06,3.64400000
2004-08-09,3.56660000
2004-08-10,3.57210000
2004-08-11,3.63110000
2004-08-12,3.59800000
2004-08-13,3.65510000
2004-08-16,3.60220000
2004-08-17,3.58600000
2004-08-18,3.60480000
2004-08-19,3.61840000
2004-08-20,3.61630000
2004-08-23,3.63320000
2004-08-24,3.64850000
2004-08-25,3.67000000
2004-08-26,3.68830000
2004-08-27,3.70540000
2004-08-30,3.69480000
2004-08-31,3.68160000
2004-09-01,3.65500000
2004-09-02,3.64280000
2004-09-03,3.63610000
2004-09-06,3.65760000
2004-09-07,3.61870000
2004-09-08,3.63880000
2004-09-09,3.60070000
2004-09-10,3.60120000
2004-09-13,3.58890000
2004-09-14,3.58020000
2004-09-15,3.55280000
2004-09-16,3.57610000
2004-09-17,3.56720000
2004-09-20,3.55150000
2004-09-21,3.53480000
2004-09-22,3.52130000
2004-09-23,3.53580000
2004-09-24,3.54230000
2004-09-27,3.54680000
2004-09-28,3.54830000
2004-09-29,3.53220000
2004-09-30,3.55690000
2004-10-01,3.52530000
2004-10-04,3.50880000
2004-10-05,3.51980000
2004-10-06,3.50860000
2004-10-07,3.52260000
2004-10-08,3.51660000
2004-10-11,3.47950000
2004-10-12,3.48550000
2004-10-13,3.49490000
2004-10-14,3.47360000
2004-10-15,3.47800000
2004-10-18,3.43880000
2004-10-19,3.43950000
2004-10-20,3.41690000
2004-10-21,3.41610000
2004-10-22,3.40520000
2004-10-25,3.37050000
2004-10-26,3.40770000
2004-10-27,3.40900000
2004-10-28,3.41230000
2004-10-29,3.39600000
2004-11-02,3.39220000
2004-11-03,3.39280000
2004-11-04,3.36330000
2004-11-05,3.33970000
2004-11-08,3.30120000
2004-11-09,3.30440000
2004-11-10,3.29850000
2004-11-12,3.31850000
2004-11-15,3.29730000
2004-11-16,3.28500000
2004-11-17,3.27580000
2004-11-18,3.25190000
2004-11-19,3.27810000
2004-11-22,3.24230000
2004-11-23,3.24270000
2004-11-24,3.20300000
2004-11-25,3.19840000
2004-11-26,3.19120000
2004-11-29,3.18450000
2004-11-30,3.17930000
2004-12-01,3.14780000
2004-12-02,3.11960000
2004-12-03,3.14660000
2004-12-06,3.10340000
2004-12-07,3.10930000
2004-12-08,3.13930000
2004-12-09,3.13690000
2004-12-10,3.20170000
2004-12-13,3.15930000
2004-12-14,3.14700000
2004-12-15,3.12650000
2004-12-16,3.10420000
2004-12-17,3.12420000
2004-12-20,3.08430000
2004-12-21,3.07000000
2004-12-22,3.06250000
2004-12-23,3.03530000
2004-12-24,3.01400000
2004-12-27,3.01770000
2004-12-28,2.97160000
2004-12-29,2.97840000
2004-12-30,2.99530000
2004-12-31,2.99040000
2005-01-03,3.01230000
2005-01-04,3.04060000
2005-01-05,3.11530000
2005-01-06,3.12770000
2005-01-07,3.10370000
2005-01-10,3.10910000
2005-01-11,3.09650000
2005-01-12,3.10790000
2005-01-13,3.09140000
2005-01-14,3.10430000
2005-01-17,3.10870000
2005-01-18,3.13380000
2005-01-19,3.12210000
2005-01-20,3.16400000
2005-01-21,3.14490000
2005-01-24,3.11330000
2005-01-25,3.11160000
2005-01-26,3.13060000
2005-01-27,3.10880000
2005-01-28,3.11630000
2005-01-31,3.12000000
2005-02-01,3.10880000
2005-02-02,3.10460000
2005-02-03,3.06210000
2005-02-04,3.07390000
2005-02-07,3.08220000
2005-02-08,3.10920000
2005-02-09,3.13210000
2005-02-10,3.12750000
2005-02-11,3.13620000
2005-02-14,3.09620000
2005-02-15,3.06990000
2005-02-16,3.05600000
2005-02-17,3.06220000
2005-02-18,3.05680000
2005-02-21,3.05170000
2005-02-22,3.01100000
2005-02-23,2.99540000
2005-02-24,2.97570000
2005-02-25,2.96270000
2005-02-28,2.95010000
2005-03-01,2.95600000
2005-03-02,2.98450000
2005-03-03,2.98370000
2005-03-04,2.99440000
2005-03-07,2.93640000
2005-03-08,2.93540000
